"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.703805220E-1,-1.684741229E-1,5.656242371E-2,8.956193924E-2
8.753992720E-1,-2.037947476E-1,6.977272034E-2,4.975128174E-2
8.804084910E-1,-2.189086378E-1,5.018234253E-2,7.145643234E-2
8.854177100E-1,-1.551923454E-1,1.210241318E-1,1.201500893E-1
8.904268760E-1,-1.297940612E-1,1.290292740E-1,1.160264015E-1
8.954441680E-1,-1.521362662E-1,2.186584473E-2,1.717915535E-1
9.004538030E-1,-1.614657640E-1,-4.115200043E-2,2.331743240E-1
9.054633870E-1,-1.509292424E-1,-1.139278412E-1,2.730436325E-1
9.104730220E-1,-1.278153956E-1,-1.691484451E-1,2.786579132E-1
9.157586990E-1,-6.604424119E-2,-1.874713898E-1,3.573455811E-1
9.207825530E-1,-1.008564234E-2,-1.532373428E-1,3.875470161E-1
9.258063550E-1,-2.963423729E-3,-1.606340408E-1,3.915758133E-1
9.308302100E-1,-4.170536995E-4,-1.731338501E-1,3.886895180E-1
9.358045330E-1,-2.629178762E-2,-1.331415176E-1,2.970709801E-1
9.408258350E-1,-7.194179296E-2,-9.925174713E-2,2.438726425E-1
9.458471370E-1,-1.106790304E-1,-5.465602875E-2,1.412363052E-1
9.508684910E-1,-1.558076143E-1,-2.962112427E-2,-9.075498581E-2
9.558501580E-1,-1.707293093E-1,-5.225372314E-2,-2.003955841E-1
9.608694800E-1,-1.699201763E-1,-5.313968658E-2,-2.501630783E-1
9.658888030E-1,-1.088750958E-1,6.340980530E-3,-3.068723679E-1
9.709080740E-1,-7.868048549E-2,-3.773689270E-3,-3.543057442E-1
9.756262510E-1,-5.177938938E-2,3.160858154E-2,-3.319029808E-1
9.806304180E-1,-2.614718676E-2,-3.688812256E-3,-3.321361542E-1
9.856345850E-1,-4.227048159E-2,3.351688385E-2,-2.179498672E-1
9.906387510E-1,-6.087976694E-2,5.818653107E-2,-1.841106415E-1
9.959401580E-1,-6.417369843E-2,1.653947830E-1,-1.112375259E-1
1.000959689E0,-1.339516938E-1,2.173061371E-1,-1.016650200E-1
1.005979168E0,-2.644389868E-1,1.670112610E-1,-5.598163605E-2
1.010998595E0,-3.211339414E-1,1.095848083E-1,1.450109482E-2
1.015716251E0,-4.203703105E-1,-2.047729492E-2,1.071143150E-1
1.020720574E0,-4.351381063E-1,-1.329479218E-1,1.088738441E-1
1.025724897E0,-2.777330279E-1,-1.493759155E-1,1.417174339E-1
1.030729220E0,-1.821079850E-2,-4.569816589E-2,8.325672150E-2
1.035760783E0,1.788341850E-1,6.985664368E-3,-5.967617035E-2
1.040766512E0,3.186933696E-1,2.170276642E-2,-1.364350319E-1
1.045772189E0,4.390649796E-1,2.816867828E-2,-2.348265648E-1
1.050777866E0,4.969643652E-1,-8.674812317E-2,-2.540974617E-1
1.055805366E0,5.355988741E-1,-1.154518127E-1,-1.759600639E-1
1.060812137E0,5.512158871E-1,-1.347122192E-1,-9.188318253E-2
1.065819012E0,4.892090261E-1,-1.292686462E-1,-7.475280762E-2
1.070825835E0,4.166116714E-1,-8.935642242E-2,-3.185272217E-4
1.075850053E0,3.672363758E-1,-6.639862061E-2,6.582117081E-2
1.080857710E0,2.824754119E-1,-7.905197144E-2,1.096873283E-1
1.085865470E0,1.955696195E-1,-1.616764069E-2,1.341032982E-1
1.090873126E0,1.402049661E-1,1.172447205E-2,2.082581520E-1
1.095880887E0,6.283792853E-2,2.859115601E-2,2.576851845E-1
1.100908126E0,-4.295638204E-2,2.008724213E-2,2.592158318E-1
1.105916668E0,-1.433603764E-1,4.286861420E-2,2.249975204E-1
1.110925210E0,-2.263382971E-1,4.628562927E-2,1.658573151E-1
1.115933751E0,-2.932043374E-1,1.087284088E-2,1.331291199E-1
1.120914168E0,-3.191919923E-1,2.719879150E-2,1.900582314E-1
1.125921303E0,-2.999280989E-1,1.120653152E-1,2.960839272E-1
1.130928439E0,-3.688035011E-1,1.527156830E-1,3.344936371E-1
1.135935522E0,-5.322039127E-1,6.627655029E-2,3.215656281E-1
1.140998022E0,-6.296720505E-1,2.167034149E-2,2.828450203E-1
1.146007918E0,-5.951739550E-1,4.231357574E-2,2.564535141E-1
1.151017814E0,-5.086010098E-1,9.562969208E-2,1.692533493E-1
1.156027762E0,-4.241732359E-1,1.186285019E-1,2.256631851E-2
1.161042970E0,-3.122535348E-1,9.618186951E-2,-9.655761719E-2
1.166053178E0,-2.072353065E-1,1.036911011E-1,-1.086454391E-1
1.171063335E0,-3.696271777E-2,1.100158691E-1,-1.077141762E-1
1.176073543E0,3.632739186E-2,7.075023651E-2,-1.385645866E-1
1.181049064E0,1.571250409E-1,6.463432312E-2,-2.668390274E-1
1.186057501E0,2.467148155E-1,4.454326630E-2,-2.929596901E-1
1.191065939E0,3.310352564E-1,2.259445190E-2,-2.542324066E-1
1.196074376E0,4.216896892E-1,-2.842998505E-2,-2.201757431E-1
1.201134376E0,4.703546166E-1,9.239196777E-3,-4.056692123E-2
1.206194376E0,3.763344586E-1,-1.653766632E-2,3.537368774E-2
1.211254376E0,1.316089928E-1,-1.148967743E-1,1.002330780E-1
1.216314376E0,3.185285628E-2,-1.839885712E-1,1.670084000E-1
1.221374376E0,2.925366163E-3,-2.100086212E-1,2.087397575E-1
1.226473491E0,5.755378306E-2,-1.784524918E-1,2.368540764E-1
1.231495678E0,8.640091121E-2,-1.941890717E-1,2.733001709E-1
1.236517814E0,1.699011624E-1,-2.758884430E-1,2.926278114E-1
1.241496408E0,3.123694658E-1,-3.139286041E-1,3.112897873E-1
1.246516408E0,4.851931930E-1,-2.623577118E-1,2.058157921E-1
1.251536408E0,6.539717913E-1,-2.274875641E-1,4.239130020E-2
1.256556408E0,6.972153187E-1,-1.946182251E-1,-1.387538910E-1
1.261496408E0,6.813918352E-1,-1.895065308E-1,-6.391906738E-2
1.266436408E0,5.630340576E-1,-2.434015274E-1,9.207201004E-2
1.271376408E0,3.925839663E-1,-2.789335251E-1,1.219387054E-1
