"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.375517335E1,6.496596004E1,2.561625554E1,1.106789418E1,2.857507324E1,1.580000043E0,8.859999847E1,1.386009014E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.475583200E1,6.496595906E1,2.561628802E1,1.075856263E1,2.826574707E1,1.610000014E0,9.200000000E1,1.401272758E-1,9.935046196E0,2.500000000E0,3.400000000E1
8.575536955E1,6.496595723E1,2.561632017E1,1.044312678E1,2.795031738E1,1.519999981E0,9.550000000E1,1.415854153E-1,9.935046196E0,2.500000000E0,4.900000000E1
8.675514153E1,6.496595649E1,2.561635111E1,1.033966725E1,2.784686279E1,1.500000000E0,9.390000153E1,1.431307102E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.775535783E1,6.496595635E1,2.561638395E1,1.024627882E1,2.775347900E1,1.509999990E0,9.130000305E1,1.446459630E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.875507694E1,6.496595596E1,2.561641614E1,1.035064416E1,2.785784912E1,1.509999990E0,9.030000305E1,1.460612193E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.975526012E1,6.496595517E1,2.561644616E1,1.027342982E1,2.778063965E1,1.529999971E0,9.150000000E1,1.474793492E-1,9.935046196E0,2.500000000E0,5.000000000E1
9.075528330E1,6.496595461E1,2.561647627E1,1.019670396E1,2.770391846E1,1.529999971E0,8.980000305E1,1.489790484E-1,9.935046196E0,2.500000000E0,5.000000000E1
9.175601314E1,6.496595370E1,2.561650807E1,1.021134717E1,2.771856689E1,1.549999952E0,9.300000000E1,1.505725561E-1,9.935046196E0,2.500000000E0,5.000000000E1
9.275586580E1,6.496595201E1,2.561654170E1,1.020883851E1,2.771606445E1,1.570000052E0,9.519999695E1,1.521684936E-1,9.935046196E0,2.500000000E0,5.100000000E1
9.375565403E1,6.496595092E1,2.561657552E1,1.009799299E1,2.760522461E1,1.559999943E0,9.309999847E1,1.537317080E-1,9.935046196E0,2.500000000E0,5.100000000E1
9.475537621E1,6.496595013E1,2.561660869E1,1.033632997E1,2.784356689E1,1.590000033E0,9.180000305E1,1.552767032E-1,9.935046196E0,2.500000000E0,5.100000000E1
9.575515554E1,6.496594887E1,2.561664139E1,1.043977888E1,2.794702148E1,1.519999981E0,9.130000305E1,1.567945868E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.675590257E1,6.496594765E1,2.561667352E1,1.053535436E1,2.804260254E1,1.470000029E0,9.209999847E1,1.583631446E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.775584981E1,6.496594601E1,2.561670663E1,1.055042394E1,2.805767822E1,1.470000029E0,9.409999847E1,1.600246256E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.875565522E1,6.496594463E1,2.561674179E1,1.044708529E1,2.795434570E1,1.480000019E0,9.200000000E1,1.615865628E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.975557871E1,6.496594307E1,2.561677478E1,1.043249187E1,2.793975830E1,1.480000019E0,9.250000000E1,1.631252233E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.007551696E2,6.496594136E1,2.561680723E1,1.036913130E1,2.787640381E1,1.460000038E0,9.490000153E1,1.646460578E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.017556162E2,6.496593959E1,2.561683928E1,1.030534348E1,2.781262207E1,1.509999990E0,9.569999695E1,1.661236159E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.027558734E2,6.496593863E1,2.561687060E1,1.037729872E1,2.788458252E1,1.500000000E0,9.300000000E1,1.676695295E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.037551734E2,6.496593917E1,2.561690343E1,1.027506085E1,2.778234863E1,1.490000010E0,8.890000153E1,1.692388489E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.047559051E2,6.496593988E1,2.561693674E1,1.033456624E1,2.784185791E1,1.500000000E0,9.030000305E1,1.708050291E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.057550966E2,6.496593945E1,2.561697001E1,1.042458812E1,2.793188477E1,1.509999990E0,9.269999695E1,1.723773452E-1,9.935046196E0,2.500000000E0,5.000000000E1
1.067560299E2,6.496593813E1,2.561700328E1,1.018666726E1,2.769396973E1,1.460000038E0,9.369999695E1,1.738672002E-1,9.935046196E0,2.500000000E0,4.800000000E1
1.077550772E2,6.496593669E1,2.561703476E1,1.032814106E1,2.783544922E1,1.440000057E0,9.000000000E1,1.753677002E-1,9.935046196E0,2.500000000E0,6.500000000E1
