"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.077569698E2,6.496516056E1,2.561714624E1,9.729544487E0,2.723760986E1,1.840000033E0,2.418000031E2,5.349539652E-1,9.935046196E0,2.500000000E0,6.300000000E1
3.087563812E2,6.496515299E1,2.561711009E1,9.566273170E0,2.707434082E1,1.860000014E0,2.415000000E2,5.369942901E-1,9.935046196E0,2.500000000E0,5.600000000E1
3.097564247E2,6.496514430E1,2.561707190E1,9.785935634E0,2.729400635E1,1.919999957E0,2.408000031E2,5.389782440E-1,9.935046196E0,2.500000000E0,6.500000000E1
3.107563665E2,6.496513495E1,2.561703599E1,9.874798814E0,2.738287354E1,1.950000048E0,2.393999939E2,5.408445392E-1,9.935046196E0,2.500000000E0,6.800000000E1
3.117562806E2,6.496512676E1,2.561700137E1,1.015751058E1,2.766558838E1,1.820000052E0,2.433999939E2,5.426789062E-1,3.790092468E0,2.500000000E0,6.800000000E1
3.127568772E2,6.496511935E1,2.561696654E1,1.039389744E1,2.790197754E1,1.750000000E0,2.451999969E2,5.445037406E-1,3.790092468E0,2.500000000E0,6.900000000E1
3.137563633E2,6.496511595E1,2.561692860E1,1.056632372E1,2.807440186E1,1.750000000E0,2.560000000E2,5.462348446E-1,3.790092468E0,2.500000000E0,6.900000000E1
3.147570497E2,6.496511475E1,2.561689192E1,1.072996286E1,2.823803711E1,1.639999986E0,2.636000061E2,5.479894602E-1,3.790092468E0,2.500000000E0,7.000000000E1
3.157569574E2,6.496511681E1,2.561685495E1,1.063585369E1,2.814392090E1,1.659999967E0,2.727000122E2,5.496333693E-1,3.790092468E0,2.500000000E0,7.000000000E1
3.167564396E2,6.496512055E1,2.561682115E1,1.068298105E1,2.819104004E1,1.590000033E0,2.796000061E2,5.511023650E-1,3.790092468E0,2.500000000E0,7.000000000E1
3.177570524E2,6.496512497E1,2.561679173E1,1.074219342E1,2.825024414E1,1.419999957E0,2.842999878E2,NaN,3.790092468E0,2.500000000E0,7.000000000E1
